                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3905,                 3.9015,                 1.2188,                0.45171,                  0.128,                0.06587,                0.04505,                 1.2156,                   3.05,                 1.1171,             0.00015093,             0.00015093,             0.00015093
                      2,                 1.3607,                 2.9245,                 1.2054,                0.27311,                0.17281,                 0.0749,                0.04824,                 1.2966,                 3.2098,                 1.1595,              0.0002996,              0.0002996,              0.0002996
                      3,                 1.3333,                 2.7008,                 1.1918,                0.27111,                0.18488,                0.09194,                0.06065,                 1.2221,                 2.7811,                  1.127,             0.00044527,             0.00044527,             0.00044527
                      4,                 1.3125,                 2.5471,                 1.1768,                0.29989,                0.22299,                0.11704,                 0.0768,                 1.1848,                 2.6029,                 1.1265,             0.00044149,             0.00044149,             0.00044149
                      5,                 1.2943,                  2.415,                  1.164,                0.33647,                0.19988,                0.13055,                0.08547,                 1.2047,                 2.4828,                 1.1235,             0.00044149,             0.00044149,             0.00044149
                      6,                 1.2685,                  2.301,                 1.1575,                0.18318,                0.22907,                 0.1407,                0.09545,                 1.2362,                 2.5747,                 1.1252,             0.00043698,             0.00043698,             0.00043698
                      7,                 1.2544,                 2.2273,                 1.1367,                0.27518,                0.21866,                0.15474,                0.10801,                 1.1929,                 2.3337,                 1.1037,             0.00043248,             0.00043248,             0.00043248
                      8,                 1.2479,                 2.1328,                  1.139,                0.34577,                 0.2321,                0.16981,                0.11716,                 1.1529,                 2.2942,                 1.1065,             0.00042797,             0.00042797,             0.00042797
                      9,                 1.2116,                 2.0452,                 1.1289,                 0.2977,                0.23408,                0.15463,                0.10663,                 1.1801,                 2.4193,                 1.1213,             0.00042347,             0.00042347,             0.00042347
                     10,                 1.2141,                 2.0163,                 1.1233,                 0.3558,                0.24499,                0.17184,                 0.1199,                 1.1708,                 2.2918,                 1.0977,             0.00041896,             0.00041896,             0.00041896
                     11,                 1.2005,                 1.9142,                 1.1164,                0.41871,                0.21004,                0.18128,                0.12648,                 1.1629,                  2.323,                 1.0973,             0.00041446,             0.00041446,             0.00041446
                     12,                 1.1735,                 1.8502,                 1.1066,                0.34815,                  0.242,                0.18707,                 0.1342,                 1.1151,                 2.3467,                 1.0852,             0.00040995,             0.00040995,             0.00040995
                     13,                 1.1712,                 1.8146,                 1.1154,                0.40019,                 0.2194,                0.18673,                0.13208,                 1.1442,                 2.2733,                 1.0885,             0.00040545,             0.00040545,             0.00040545
                     14,                 1.1736,                 1.7556,                 1.1025,                 0.4085,                0.23448,                0.19882,                0.14141,                 1.1247,                 2.2121,                 1.0888,             0.00040095,             0.00040095,             0.00040095
                     15,                 1.1527,                 1.6843,                 1.0824,                0.46285,                0.21681,                0.20278,                0.14597,                 1.1389,                 2.1812,                 1.0721,             0.00039644,             0.00039644,             0.00039644
                     16,                 1.1424,                 1.6307,                 1.0875,                0.45804,                0.23775,                0.21688,                0.15517,                 1.1143,                 2.1484,                 1.0769,             0.00039194,             0.00039194,             0.00039194
                     17,                 1.1293,                 1.5879,                 1.0849,                0.46145,                0.22287,                0.21824,                 0.1597,                 1.1458,                 2.2694,                 1.0853,             0.00038743,             0.00038743,             0.00038743
                     18,                 1.1307,                 1.5713,                 1.0844,                0.41943,                0.25723,                0.23031,                0.16779,                 1.1215,                  2.118,                 1.0741,             0.00038293,             0.00038293,             0.00038293
                     19,                 1.1232,                 1.5114,                 1.0754,                0.41732,                0.24292,                0.22439,                0.16324,                 1.0986,                 2.1705,                 1.0731,             0.00037842,             0.00037842,             0.00037842
                     20,                 1.0964,                 1.4466,                 1.0614,                0.45521,                0.24378,                 0.2461,                0.17724,                 1.1189,                 2.1108,                 1.0904,             0.00037392,             0.00037392,             0.00037392
